ID,TransectID,TransectCode,DateOfTransect,SectionCode,VegType,DistFromTransect,occasion,season,Year
95635,3115,GTA,2019-04-29,GTA01,OMX,35,2018_Wet,Wet,2018
95634,3115,GTA,2019-04-29,GTA01,OMX,31,2018_Wet,Wet,2018
95633,3115,GTA,2019-04-29,GTA01,OMX,19,2018_Wet,Wet,2018
95632,3115,GTA,2019-04-29,GTA01,OMX,3,2018_Wet,Wet,2018
100737,3151,GTA,2019-10-21,GTA01,OMX,7,2019_Dry,Dry,2019
100738,3151,GTA,2019-10-21,GTA01,OMX,4,2019_Dry,Dry,2019
100739,3151,GTA,2019-10-21,GTA01,OMX,4,2019_Dry,Dry,2019
100736,3151,GTA,2019-10-21,GTA01,OMX,2,2019_Dry,Dry,2019
100741,3151,GTA,2019-10-21,GTA01,OMX,2,2019_Dry,Dry,2019
100740,3151,GTA,2019-10-21,GTA01,OMX,1,2019_Dry,Dry,2019
102517,3174,GTA,2020-02-28,GTA01,OMX,15,2019_Wet,Wet,2019
102516,3174,GTA,2020-02-28,GTA01,OMX,14,2019_Wet,Wet,2019
102518,3174,GTA,2020-02-28,GTA01,OMX,13,2019_Wet,Wet,2019
103106,3205,GTA,2020-09-07,GTA01,OMX,45,2020_Dry,Dry,2020
103105,3205,GTA,2020-09-07,GTA01,OMX,17,2020_Dry,Dry,2020
103765,3226,GTA,2021-09-29,GTA01,OMX,5,2021_Dry,Dry,2021
107137,3267,GTA,2022-03-23,GTA01,OMX,26,2021_Wet,Wet,2021
107140,3267,GTA,2022-03-23,GTA01,OMX,23,2021_Wet,Wet,2021
107142,3267,GTA,2022-03-23,GTA01,OMX,21,2021_Wet,Wet,2021
107141,3267,GTA,2022-03-23,GTA01,OMX,20,2021_Wet,Wet,2021
107138,3267,GTA,2022-03-23,GTA01,OMX,17,2021_Wet,Wet,2021
107139,3267,GTA,2022-03-23,GTA01,OMX,12,2021_Wet,Wet,2021
107136,3267,GTA,2022-03-23,GTA01,OMX,8,2021_Wet,Wet,2021
109187,3295,GTA,2023-01-27,GTA01,OMX,31,2022_Wet,Wet,2022
95636,3115,GTA,2019-04-29,GTA02,OMX,1,2018_Wet,Wet,2018
102519,3174,GTA,2020-02-28,GTA02,OMX,8,2019_Wet,Wet,2019
103107,3205,GTA,2020-09-07,GTA02,OMX,2,2020_Dry,Dry,2020
109189,3295,GTA,2023-01-27,GTA02,OMX,21,2022_Wet,Wet,2022
109188,3295,GTA,2023-01-27,GTA02,OMX,11,2022_Wet,Wet,2022
95637,3115,GTA,2019-04-29,GTA03,OMX,3,2018_Wet,Wet,2018
103767,3226,GTA,2021-09-29,GTA03,OMX,0,2021_Dry,Dry,2021
107144,3267,GTA,2022-03-23,GTA03,OMX,1,2021_Wet,Wet,2021
107150,3267,GTA,2022-03-23,GTA09,PEM,0,2021_Wet,Wet,2021
101303,3156,GTB,2020-01-30,GTB01,SMX,5,2019_Wet,Wet,2019
101300,3156,GTB,2020-01-30,GTB01,SMX,4,2019_Wet,Wet,2019
101304,3156,GTB,2020-01-30,GTB01,SMX,4,2019_Wet,Wet,2019
101298,3156,GTB,2020-01-30,GTB01,SMX,3,2019_Wet,Wet,2019
101299,3156,GTB,2020-01-30,GTB01,SMX,2,2019_Wet,Wet,2019
101301,3156,GTB,2020-01-30,GTB01,SMX,1,2019_Wet,Wet,2019
101302,3156,GTB,2020-01-30,GTB01,SMX,0,2019_Wet,Wet,2019
102727,3192,GTB,2020-09-22,GTB01,SMX,6,2020_Dry,Dry,2020
102726,3192,GTB,2020-09-22,GTB01,SMX,2,2020_Dry,Dry,2020
102725,3192,GTB,2020-09-22,GTB01,SMX,1,2020_Dry,Dry,2020
102723,3192,GTB,2020-09-22,GTB01,SMX,0,2020_Dry,Dry,2020
102724,3192,GTB,2020-09-22,GTB01,SMX,0,2020_Dry,Dry,2020
104224,3237,GTB,2021-09-19,GTB01,SMX,1,2021_Dry,Dry,2021
104225,3237,GTB,2021-09-19,GTB01,SMX,1,2021_Dry,Dry,2021
104227,3237,GTB,2021-09-19,GTB01,SMX,1,2021_Dry,Dry,2021
104226,3237,GTB,2021-09-19,GTB01,SMX,0,2021_Dry,Dry,2021
101305,3156,GTB,2020-01-30,GTB02,OMX,14,2019_Wet,Wet,2019
101306,3156,GTB,2020-01-30,GTB02,OMX,4,2019_Wet,Wet,2019
102730,3192,GTB,2020-09-22,GTB04,EXP,21,2020_Dry,Dry,2020
104230,3237,GTB,2021-09-19,GTB04,EXP,12,2021_Dry,Dry,2021
100269,3146,GTB,2019-10-03,GTB06,SMX,0,2019_Dry,Dry,2019
102732,3192,GTB,2020-09-22,GTB06,SMX,1,2020_Dry,Dry,2020
101311,3156,GTB,2020-01-30,GTB07,EXP,0,2019_Wet,Wet,2019
101312,3156,GTB,2020-01-30,GTB08,PEM,2,2019_Wet,Wet,2019
100274,3146,GTB,2019-10-03,GTB11,PEM,6,2019_Dry,Dry,2019
94222,3093,GTB,2019-02-21,GTB13,EXP,5,2018_Wet,Wet,2018
94221,3093,GTB,2019-02-21,GTB13,EXP,4,2018_Wet,Wet,2018
94220,3093,GTB,2019-02-21,GTB13,EXP,0,2018_Wet,Wet,2018
100276,3146,GTB,2019-10-03,GTB13,EXP,1,2019_Dry,Dry,2019
101351,3156,GTB,2020-01-30,GTB13,EXP,50,2019_Wet,Wet,2019
101348,3156,GTB,2020-01-30,GTB13,EXP,48,2019_Wet,Wet,2019
101350,3156,GTB,2020-01-30,GTB13,EXP,36,2019_Wet,Wet,2019
101343,3156,GTB,2020-01-30,GTB13,EXP,35,2019_Wet,Wet,2019
101349,3156,GTB,2020-01-30,GTB13,EXP,33,2019_Wet,Wet,2019
101352,3156,GTB,2020-01-30,GTB13,EXP,31,2019_Wet,Wet,2019
101347,3156,GTB,2020-01-30,GTB13,EXP,28,2019_Wet,Wet,2019
101339,3156,GTB,2020-01-30,GTB13,EXP,27,2019_Wet,Wet,2019
101346,3156,GTB,2020-01-30,GTB13,EXP,27,2019_Wet,Wet,2019
101338,3156,GTB,2020-01-30,GTB13,EXP,26,2019_Wet,Wet,2019
